itemname,itemid,charname,charid,quantity,reason,sources
Cornelia's Ring,26227,Ropraz,18,1,no_source,
Cornelia's Ring,26227,Spyro,19,1,no_source,
Cross-counters,17472,Ropraz,18,1,no_source,
Cross-counters,17472,Thanos,20,1,no_source,
Draca Couse,19791,Bent,29,1,no_source,
Duelist's Gloves,15106,Duffaluffagus,13,1,no_source,
Eletta Chopper,21777,Herdofturtles,22,1,all_gated,sys:Ambuscade
Elv. F Ledelsens,13011,Eir,6,1,no_source,
Elv. M Chausses,12885,Ropraz,18,1,no_source,
Elv. M Ledelsens,13006,Ropraz,18,1,no_source,
Elvaan Bodice,12634,Eir,6,1,no_source,
Elvaan F Chausses,12889,Eir,6,1,no_source,
Elvaan Gauntlets,12759,Eir,6,1,no_source,
Elvaan Gloves,12755,Ropraz,18,1,no_source,
Elvaan Jerkin,12633,Ropraz,18,1,no_source,
Em. Baghnakhs,20540,Ropraz,18,1,no_source,
Eminent Axe,20817,Herdofturtles,22,1,no_source,
Eminent Gun,21281,Burtgang,11,1,no_source,
Eminent Sickle,20908,Herdofturtles,22,1,no_source,
Eminent Staff,21182,Garvtest,21,1,no_source,
Eminent Voulge,20865,Garvtest,21,1,no_source,
Emperor Hairpin,12486,Duffaluffagus,13,1,no_source,
Emperor Hairpin,12486,Ropraz,18,1,no_source,
Enlivened Ring,28549,Duffaluffagus,13,1,no_source,
Enlivened Ring,28549,Garvtest,21,1,no_source,
Ephramad's Ring,26231,Burtgang,11,1,no_source,
Ephramad's Ring,26231,Lanty,25,1,no_source,
Ephramad's Ring,26231,Spyro,19,1,no_source,
Espial Bracers,28030,Garvtest,21,1,no_source,
Espial Bracers,28030,Ropraz,18,1,no_source,
Espial Cap,27741,Garvtest,21,1,no_source,
Espial Cap,27741,Ropraz,18,1,no_source,
Espial Gambison,27882,Garvtest,21,1,no_source,
Espial Gambison,27882,Ropraz,18,1,no_source,
Espial Hose,28169,Garvtest,21,1,no_source,
Espial Hose,28169,Ropraz,18,1,no_source,
Espial Socks,28307,Garvtest,21,1,no_source,
Espial Socks,28307,Ropraz,18,1,no_source,
Etoile Tiara,11478,Duffaluffagus,13,1,no_source,
Fickblix's Ring,26230,Herdofturtles,22,1,no_source,
Fili Calot,26758,Nut,16,1,all_gated,sys:Reforge
Fili Cothurnes,27429,Nut,16,1,all_gated,sys:Reforge
Fili Hongreline,26916,Nut,16,1,all_gated,sys:Reforge
Fili Manchettes,27070,Nut,16,1,all_gated,sys:Reforge
Fili Rhingrave,27255,Nut,16,1,all_gated,sys:Reforge
Flamma Dirs +1,25874,Garvtest,21,1,all_gated,sys:Ambuscade
Fracas Grenade,19766,Garvtest,21,1,no_source,
Friar's Rope,13211,Burtgang,11,1,no_source,
Fuma Kyahan,13054,Bent,29,1,no_source,
Fuma Kyahan,13054,Ropraz,18,1,no_source,
Galkan Bracers,12758,Bent,29,1,no_source,
Galkan Bracers,12758,Corvinos,14,1,no_source,
Galkan Bracers,12758,Duffaluffagus,13,1,no_source,
Galkan Bracers,12758,Nut,16,1,no_source,
Galkan Braguette,12888,Bent,29,1,no_source,
Galkan Braguette,12888,Corvinos,14,1,no_source,
Galkan Braguette,12888,Duffaluffagus,13,1,no_source,
Galkan Braguette,12888,Nut,16,1,no_source,
Galkan Sandals,13009,Bent,29,1,no_source,
Galkan Sandals,13009,Corvinos,14,1,no_source,
Galkan Sandals,13009,Duffaluffagus,13,1,no_source,
Galkan Sandals,13009,Nut,16,1,no_source,
Galkan Surcoat,12637,Bent,29,1,no_source,
Galkan Surcoat,12637,Corvinos,14,1,no_source,
Galkan Surcoat,12637,Duffaluffagus,13,1,no_source,
Galkan Surcoat,12637,Nut,16,1,no_source,
Gleti's Boots,23784,Herdofturtles,22,1,no_source,
Gleti's Breeches,23777,Herdofturtles,22,1,no_source,
Gleti's Cuirass,23763,Herdofturtles,22,1,no_source,
Hume F Boots,13010,Burtgang,11,1,no_source,
Hume F Boots,13010,Spaz,17,1,no_source,
Hume F Gloves,12760,Burtgang,11,1,no_source,
Hume F Gloves,12760,Spaz,17,1,no_source,
Hume M Boots,13005,Garvtest,21,1,no_source,
Hume M Boots,13005,Midnightarsal,32,1,no_source,
Hume M Boots,13005,Molly,5,1,no_source,
Hume M Boots,13005,Rirint,4,1,no_source,
Hume M Boots,13005,Souls,12,1,no_source,
Hume M Boots,13005,Testa,7,1,no_source,
Hume M Gloves,12754,Garvtest,21,1,no_source,
Hume M Gloves,12754,Midnightarsal,32,1,no_source,
Hume M Gloves,12754,Molly,5,1,no_source,
Hume M Gloves,12754,Rirint,4,1,no_source,
Hume M Gloves,12754,Souls,12,1,no_source,
Hume M Gloves,12754,Testa,7,1,no_source,
Hume Pants,12884,Burtgang,11,1,no_source,
Hume Pants,12884,Spaz,17,1,no_source,
Hume Slacks,12883,Garvtest,21,1,no_source,
Hume Slacks,12883,Midnightarsal,32,1,no_source,
Hume Slacks,12883,Molly,5,1,no_source,
Hume Slacks,12883,Rirint,4,1,no_source,
Hume Slacks,12883,Souls,12,1,no_source,
Hume Slacks,12883,Testa,7,1,no_source,
Hume Tunic,12631,Garvtest,21,1,no_source,
Hume Tunic,12631,Midnightarsal,32,1,no_source,
Hume Tunic,12631,Molly,5,1,no_source,
Hume Tunic,12631,Rirint,4,1,no_source,
Hume Tunic,12631,Souls,12,1,no_source,
Hume Tunic,12631,Testa,7,1,no_source,
Hume Vest,12632,Burtgang,11,1,no_source,
Hume Vest,12632,Spaz,17,1,no_source,
I.r. Chainmail,14581,Thanos,20,1,no_source,
Ichi-an +1,19294,Duffaluffagus,13,2,no_source,
Ichimonji-yofusa,21044,Duffaluffagus,13,1,no_source,
Ire Torque +1,11582,Thanos,20,1,no_source,
Juogi +1,12622,Thanos,20,1,no_source,
Justice Badge,13093,Burtgang,11,1,no_source,
Kasuga Domaru,26920,Bent,29,1,all_gated,sys:Reforge
Kasuga Haidate,27259,Bent,29,1,all_gated,sys:Reforge
Kasuga Kabuto,26762,Bent,29,1,all_gated,sys:Reforge
Kasuga Kote,27074,Bent,29,1,all_gated,sys:Reforge
Kasuga Sune-ate,27433,Bent,29,1,all_gated,sys:Reforge
Killer Targe,12396,Burtgang,11,1,no_source,
Kraken Club,17440,Souls,12,1,no_source,
Leaping Boots,13014,Duffaluffagus,13,1,no_source,
Life Belt,13231,Herdofturtles,22,1,no_source,
Lufaise Fly,17005,Thanos,20,1,no_source,
Martial Knuckles,18356,Thanos,20,1,no_source,
Melee Gaiters,15133,Duffaluffagus,13,1,no_source,
Mercen. Mantle,13659,Burtgang,11,1,no_source,
Mercenary's Targe,12389,Burtgang,11,1,no_source,
Metasoma Katars,18784,Thanos,20,1,no_source,
Mirage Shalwar,16346,Duffaluffagus,13,1,no_source,
Mithran Gaiters,13008,Enko,15,1,no_source,
Mithran Gaiters,13008,Herdofturtles,22,1,no_source,
Mithran Gauntlets,12757,Enko,15,1,no_source,
Mithran Gauntlets,12757,Herdofturtles,22,1,no_source,
Mithran Loincloth,12887,Enko,15,1,no_source,
Mithran Loincloth,12887,Herdofturtles,22,1,no_source,
Mithran Separates,12636,Enko,15,1,no_source,
Mithran Separates,12636,Herdofturtles,22,1,no_source,
Monster Jackcoat,15095,Duffaluffagus,13,1,no_source,
Mujin Band,11672,Enko,15,1,no_source,
Nyame Gauntlets,23775,Herdofturtles,22,1,no_source,
Nyame Helm,23761,Herdofturtles,22,1,no_source,
Ochiudo's Kote,13952,Bent,29,1,no_source,
Ochiudo's Kote,13952,Ropraz,18,1,no_source,
Ochiudo's Kote,13952,Thanos,20,1,no_source,
Onion Dagger,16482,Spaz,17,1,no_source,
Onion Dagger,16482,Spyro,19,1,no_source,
Onion Knife,16483,Enko,15,1,no_source,
Onion Knife,16483,Herdofturtles,22,1,no_source,
Onion Knife,16483,Lantyisstuck,26,1,no_source,
Onion Knife,16483,Midnightarsal,32,1,no_source,
Onion Rod,17068,Eir,6,1,no_source,
Onion Sword,16534,Bent,29,1,no_source,
Onion Sword,16534,Garvtest,21,1,no_source,
Onion Sword,16534,Molly,5,1,no_source,
Onion Sword,16534,Nut,16,1,no_source,
Onion Sword,16534,Rirint,4,1,no_source,
Onion Sword,16534,Ririntwo,9,1,no_source,
Onion Sword,16534,Souls,12,1,no_source,
Onion Sword,16534,Testa,7,1,no_source,
Outrider Greaves,28306,Burtgang,11,1,no_source,
Outrider Greaves,28306,Duffaluffagus,13,1,no_source,
Outrider Greaves,28306,Garvtest,21,1,no_source,
Outrider Greaves,28306,Herdofturtles,22,1,no_source,
Outrider Hose,28168,Burtgang,11,1,no_source,
Outrider Hose,28168,Duffaluffagus,13,1,no_source,
Outrider Hose,28168,Garvtest,21,1,no_source,
Outrider Hose,28168,Herdofturtles,22,1,no_source,
Outrider Mail,27881,Duffaluffagus,13,1,no_source,
Outrider Mail,27881,Garvtest,21,1,no_source,
Outrider Mail,27881,Herdofturtles,22,1,no_source,
Outrider Mask,27740,Burtgang,11,1,no_source,
Outrider Mask,27740,Duffaluffagus,13,1,no_source,
Outrider Mask,27740,Garvtest,21,1,no_source,
Outrider Mask,27740,Herdofturtles,22,1,no_source,
Outrider Mittens,28029,Burtgang,11,1,no_source,
Outrider Mittens,28029,Duffaluffagus,13,1,no_source,
Outrider Mittens,28029,Garvtest,21,1,no_source,
Outrider Mittens,28029,Herdofturtles,22,1,no_source,
Physical Earring,13398,Burtgang,11,1,no_source,
Pilgrim Tunica,14587,Burtgang,11,1,no_source,
Pole Grip,19025,Bent,29,1,no_source,
Rager Ledelsens,11423,Thanos,20,1,no_source,
Rajas Ring,15543,Bent,29,1,no_source,
Relic Blade,18278,Duffaluffagus,13,1,no_source,
Relic Scythe,18302,Duffaluffagus,13,1,no_source,
Ryl.kgt. Sollerets,12942,Thanos,20,1,no_source,
Safeguard Ring,14670,Burtgang,11,1,no_source,
Sakonji Domaru,26822,Bent,29,1,all_gated,sys:Reforge
Sakonji Haidate,27174,Bent,29,1,all_gated,sys:Reforge
Sakonji Kabuto,26646,Bent,29,1,all_gated,sys:Reforge
Sakonji Kote,26998,Bent,29,1,all_gated,sys:Reforge
Sakonji Sune-ate,27350,Bent,29,1,all_gated,sys:Reforge
San Dorian Ring,13495,Ropraz,18,1,no_source,
Saotome Kote,15113,Duffaluffagus,13,1,no_source,
Savate Fists +1,18775,Thanos,20,1,no_source,
Sorcerer's Tonban,15120,Duffaluffagus,13,1,no_source,
Speed Belt,13189,Bent,29,1,no_source,
Summoner's Brcr.,15116,Duffaluffagus,13,1,no_source,
Taimakuniyuki,16963,Bent,29,1,no_source,
Tartarus Platemail,26944,Burtgang,11,1,no_source,
Tarutaru Braccae,12886,Ririntwo,9,1,no_source,
Tarutaru Clomps,13007,Ririntwo,9,1,no_source,
Tarutaru Kaftan,12635,Ririntwo,9,1,no_source,
Tarutaru Mitts,12756,Ririntwo,9,1,no_source,
Tourney Patas,18350,Thanos,20,1,no_source,
Valor Coronet,15078,Duffaluffagus,13,1,no_source,
Vehemence Ring,28550,Duffaluffagus,13,1,no_source,
Vehemence Ring,28550,Garvtest,21,1,no_source,
Veisa Collar,10930,Garvtest,21,1,no_source,
Veisa Collar,10930,Thanos,20,1,no_source,
Vellaunus' Mantle,11565,Thanos,20,1,no_source,
Vulcan's Pearl,11022,Ropraz,18,1,no_source,
Vulcan's Pearl,11022,Thanos,20,2,no_source,
Wakido Domaru,27818,Bent,29,1,all_gated,sys:Reforge
Wakido Haidate,28101,Bent,29,1,all_gated,sys:Reforge
Wakido Kabuto,27674,Bent,29,1,all_gated,sys:Reforge
Wakido Kote,27954,Bent,29,1,all_gated,sys:Reforge
Wakido Sune-ate,28234,Bent,29,1,all_gated,sys:Reforge
Wayfarer Circlet,27742,Garvtest,21,1,no_source,
Wayfarer Clogs,28308,Garvtest,21,1,no_source,
Wayfarer Cuffs,28031,Garvtest,21,1,no_source,
Wayfarer Robe,27883,Garvtest,21,1,no_source,
Wayfarer Slops,28170,Garvtest,21,1,no_source,
White Belt,13184,Corvinos,14,1,no_source,
White Belt,13184,Duffaluffagus,13,1,no_source,
White Belt,13184,Ropraz,18,1,no_source,
White Belt,13184,Thanos,20,1,no_source,
Wukong's Hakama,12846,Thanos,20,1,no_source,
