"item_id","trust_name","spell_id","unlock_method","nm_label","mob_groups_name","content_pool","band","rank","power_tier","drop_pct","notes"
"","Semih Lafihna","940","direct_spell_grant","Warder of Faith","Warder_of_Faith","Geas Fete T1","D1","1","C","15","cipher retired - direct learn"
"","Elivira","941","direct_spell_grant","Abyssdiver","Abyssdiver","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Noillurie","942","direct_spell_grant","Lumber Jill","Lumber_Jill","Unity Wanted T2","D2","2","B","13","cipher retired - direct learn"
"","Lhu Mhakaracca","943","direct_spell_grant","Warblade Beak","Warblade_Beak","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Ferreous Coffin","944","direct_spell_grant","Bukhis","Bukhis","Reforge Unity [I]","D1","1","C","15","cipher retired - direct learn"
"","Lilisette","945","direct_spell_grant","Padfoot","Padfoot","Reforge Unity [III]","D3","3","A","11","cipher retired - direct learn"
"","Mumor","946","direct_spell_grant","Muut","Muut","Unity Wanted T2","D2","2","B","13","cipher retired - direct learn"
"","Uka Totlihn","947","direct_spell_grant","Pantokrator","Pantokrator","Abyssea Marks T3","D4","4","S","9","Was Prestige Omega trial â€” moved to Abyssea; cipher retired - direct learn"
"","Klara","948","direct_spell_grant","Lord Varney","Lord_Varney","Abyssea Marks T2","D2","2","B","13","No cipher item; was Infamy Maat fight"
"","Romaa Mihgo","949","direct_spell_grant","Ironhorn Baldurno","Ironhorn_Baldurno","Unity Wanted T1","D1","1","C","15","No cipher item"
"","Kuyin Hathdenna","950","direct_spell_grant","Byakko-Escha","Byakko-Escha","Geas Ru'Aun T3","D3","3","A","11","cipher retired - direct learn"
"","Rahal","951","direct_spell_grant","Roc","Roc","Hunting League Rank II","D2","2","B","13","cipher retired - direct learn"
"","Koru-Moru","952","direct_spell_grant","Khun","Khun","Reforge Unity [II]","D2","2","B","13","cipher retired - direct learn"
"","Pieuje UC","953","direct_spell_grant","Centurio XX-I","Centurio_XX-I","Unity Wanted T3","D3","3","A","11","No cipher item"
"","Invincible Shield UC","954","direct_spell_grant","Vidmapire","Vidmapire","Unity Wanted T3","D3","3","A","11","No cipher item"
"","Apururu UC","955","direct_spell_grant","Chloris","Chloris","Abyssea Marks T1","D4","4","S","9","CORE â€” no cipher item"
"","Jakoh UC","956","direct_spell_grant","Tolba","Tolba","Unity Wanted T3","D3","3","A","11","No cipher item"
"","Flaviria UC","957","direct_spell_grant","Mephitas","Mephitas","Unity Wanted T3","D3","3","A","11","No cipher item"
"","Babban","958","direct_spell_grant","Hugemaw Harold","Hugemaw_Harold","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Abenzio","959","direct_spell_grant","Prickly Pitriv","Prickly_Pitriv","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Rughadjeen","960","direct_spell_grant","Ionos","Ionos","Geas Fete T2","D2","2","B","13","cipher retired - direct learn"
"","Kukki-Chebukki","961","direct_spell_grant","Joyous Green","Joyous_Green","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Margret","962","direct_spell_grant","Intuila","Intuila","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Chacharoon","963","direct_spell_grant","Azdaja","Azdaja","Abyssea Marks T3","D4","4","B","9","No cipher item; was Prestige Ultima trial"
"","Lhe Lhangavo","964","direct_spell_grant","Kukulkan","Kukulkan","Abyssea Marks T1","D4","4","S","9","Was Prestige Sarameya trial â€” moved to Abyssea; cipher retired - direct learn"
"","Arciela","965","direct_spell_grant","Eccentric Eve","Eccentric_Eve","Abyssea Marks T1","D2","2","B","13","No cipher item"
"","Mayakov","966","direct_spell_grant","Cactrot Veloz","Cactrot_Veloz","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Qultada","967","direct_spell_grant","Glavoid","Glavoid","Reforge Unity [IV]","D3","3","A","11","CORE; cipher retired - direct learn"
"","Adelheid","968","direct_spell_grant","Aello","Aello","Reforge Abyssea [I]","D1","1","C","15","cipher retired - direct learn"
"","Amchuchu","969","direct_spell_grant","Apademak","Apademak","Abyssea Marks T3","D3","3","B","11","NOTABLE; cipher retired - direct learn"
"","Brygid","970","direct_spell_grant","Bomb Queen","Bomb_Queen","Hunting League Rank II","D2","2","B","13","cipher retired - direct learn"
"","Mildaurion","971","direct_spell_grant","Kirin","Kirin","Geas Ru'Aun T3","D3","3","A","11","Geas catalog name is Kirin (not Kirin-Escha); cipher retired - direct learn"
"","Halver","972","direct_spell_grant","Keeper of Heiligtum","Keeper_of_Heiligtum","Unity Wanted T1","D1","1","C","15","cipher retired - direct learn"
"","Rongelouts","973","direct_spell_grant","Fleetstalker","Fleetstalker","Geas Fete T3","D3","3","A","11","cipher retired - direct learn"
"","Leonoyne","974","direct_spell_grant","Aquarius","Aquarius","The Gauntlet L1","D2","2","B","13","cipher retired - direct learn"
"","Maximilian","975","direct_spell_grant","Dvalinn","Dvalinn","Abyssea Marks T2","D3","3","A","11","cipher retired - direct learn"
"","Kayeel-Payeel","976","direct_spell_grant","Ketea","Ketea","Abyssea Marks T2","D3","3","A","11","cipher retired - direct learn"
"","Robel-Akbel","977","direct_spell_grant","Durinn","Durinn","Abyssea Marks T2","D2","2","B","13","Was Prestige Diabolos trial â€” moved to Abyssea; cipher retired - direct learn"
"","Kupofried","978","direct_spell_grant","Shinryu","Shinryu","Hunting League Rank V","D5","5","S","8","CORE chase; cipher retired - direct learn"
"","Selh'Teus","979","direct_spell_grant","Albumen","Albumen","Geas Fete T4","D4","4","A","9","cipher retired - direct learn"
"","Yoran-Oran UC","980","direct_spell_grant","Coca","Coca","Unity Wanted T3","D3","3","A","11","No cipher item"
"","Sylvie UC","981","direct_spell_grant","Tumult Curator","Tumult_Curator","Unity Wanted T3 capstone","D4","4","S","9","CORE â€” no cipher item"
"","Abquhbah","982","direct_spell_grant","Teles","Teles","Geas Fete T4","D4","4","A","9","cipher retired - direct learn"
"","Balamor","983","direct_spell_grant","Pazuzu","Pazuzu","Geas Fete T3","D3","3","A","11","cipher retired - direct learn"
"","August","984","direct_spell_grant","Alfard","Alfard","Abyssea Marks T3","D3","3","S","11","CORE; cipher retired - direct learn"
"","Rosulatia","985","direct_spell_grant","Urmahlullu","Urmahlullu","Geas Fete T3","D3","3","A","11","cipher retired - direct learn"
"","Teodor","986","direct_spell_grant","Titlacauan","Titlacauan","Abyssea Marks T2","D4","4","S","9","cipher retired - direct learn"
"","Ullegore","987","direct_spell_grant","Iku-Turso","Iku-Turso","Abyssea Marks T2","D3","3","A","11","cipher retired - direct learn"
"","Makki-Chebukki","988","direct_spell_grant","Warder of Courage","Warder_of_Courage","Geas Fete T4","D4","4","S","9","cipher retired - direct learn"
"","King of Hearts","989","direct_spell_grant","Briareus","Briareus","Abyssea Marks T1","D3","3","A","11","cipher retired - direct learn"
"","Morimar","990","direct_spell_grant","Warder of Hope","Warder_of_Hope","Geas Fete T4","D4","4","S","9","cipher retired - direct learn"
"","Darrcuiln","991","direct_spell_grant","Azi Dahaka","Azi_Dahaka","Geas Fete T4","D4","4","S","9","cipher retired - direct learn"
"","AA HM","992","direct_spell_grant","Ark Angel HM","Ark_Angel_HM","Geas Fete T3","D3","3","A","11","cipher retired - direct learn"
"","AA EV","993","direct_spell_grant","Ark Angel EV","Ark_Angel_EV","Geas Fete T3","D3","3","A","11","cipher retired - direct learn"
"","AA MR","994","direct_spell_grant","Ark Angel MR","Ark_Angel_MR","Geas Fete T3","D3","3","A","11","cipher retired - direct learn"
"","AA TT","995","direct_spell_grant","Ark Angel TT","Ark_Angel_TT","Geas Fete T3","D3","3","A","11","cipher retired - direct learn"
"","AA GK","996","direct_spell_grant","Ark Angel GK","Ark_Angel_GK","Geas Fete T3","D3","3","A","11","cipher retired - direct learn"
"","Iroha","997","direct_spell_grant","Iratham","Iratham","Reforge Abyssea [II]","D2","2","B","13","cipher retired - direct learn"
"","Ygnas","998","direct_spell_grant","Isgebind","Isgebind","Abyssea Marks T3","D4","4","S","9","CORE â€” no cipher item"
"","Monberaux","999","direct_spell_grant","Maju","Maju","Geas Fete T4","D4","4","A","9","CORE; cipher retired - direct learn"
"","Excenmille S","1004","direct_spell_grant","Toppling Tuber","Toppling_Tuber","Abyssea Marks T1","D2","2","B","13","Variant trust; optional collection row"
"","Ayame UC","1005","direct_spell_grant","Wyvernhunter Bambrox","Wyvernhunter_Bambrox","Unity Wanted T3","D3","3","A","11","No cipher item"
"","Maat UC","1006","direct_spell_grant","Amarok","Amarok","Abyssea Marks T3","D2","2","B","13","No cipher item"
"","Aldo UC","1007","disabled","","","Retired","","","A","0","Temporarily removed from live roster / drops (2026-08-02)"
"","Naja UC","1008","direct_spell_grant","Ayapec","Ayapec","Unity Wanted T3","D3","3","A","11","No cipher item"
"","Lion II","1009","direct_spell_grant","Tinnin","Tinnin","Reforge Unity [V]","D4","4","S","9","cipher retired - direct learn"
"","Zeid II","1010","direct_spell_grant","Orthrus","Orthrus","Abyssea Marks T3","D4","4","S","9","CORE; was Prestige Odin trial â€” moved to Abyssea; cipher retired - direct learn"
"","Prishe II","1011","direct_spell_grant","Lorelei","Lorelei","Abyssea Marks T3","D4","4","S","9","cipher retired - direct learn"
"","Nashmeira II","1012","direct_spell_grant","Specter Worm","Specter_Worm","Unity Wanted T3","D3","3","A","11","cipher retired - direct learn"
"","Lilisette II","1013","direct_spell_grant","Bakunawa","Bakunawa","Unity Wanted T3","D3","3","A","11","cipher retired - direct learn"
"","Tenzen II","1014","direct_spell_grant","Thu'ban","Thuban","Unity Wanted T2","D2","2","B","13","cipher retired - direct learn"
"","Mumor II","1015","direct_spell_grant","Bennu","Bennu","Abyssea Marks T3","D3","3","A","11","cipher retired - direct learn"
"","Ingrid II","1016","direct_spell_grant","Shaula","Shaula","Abyssea Marks T3","D2","2","B","13","Was Prestige Medusa trial â€” moved to Abyssea; cipher retired - direct learn"
"","Arciela II","1017","direct_spell_grant","Itzpapalotl","Itzpapalotl","Abyssea Marks T2","D3","3","A","11","cipher retired - direct learn"
"","Iroha II","1018","direct_spell_grant","Shedu","Shedu","Unity Wanted T3","D3","3","A","11","cipher retired - direct learn"
"","Shantotto II","1019","direct_spell_grant","Absolute Virtue","Absolute_Virtue","Hunting League Rank V","D4","4","S","9","CORE; cipher retired - direct learn"
"","Cornelia","1002","void_keeper","","","Void Keeper","","","S","50M","All 120 roster trusts + 50M gil"
"","Matsui-P","1004","void_keeper","","","Void Keeper","","","S","50M","Cast as Excenmille (S); all roster trusts + 50M gil"
