itemname,itemid,charname,charid,locked_sources
Acad. Bracers +1,27984,Testa,7,Reforge[gate not met]
Acad. Bracers +2,23194,Bent,29,Reforge[gate not met]
Acad. Bracers +2,23194,Corvinos,14,Reforge[gate not met]
Acad. Bracers +2,23194,Eir,6,Reforge[gate not met]
Acad. Bracers +2,23194,Enko,15,Reforge[gate not met]
Acad. Bracers +2,23194,Garvtest,21,Reforge[gate not met]
Acad. Bracers +2,23194,Herdofturtles,22,Reforge[gate not met]
Acad. Bracers +2,23194,Lantyisstuck,26,Reforge[gate not met]
Acad. Bracers +2,23194,Midnightarsal,32,Reforge[gate not met]
Acad. Bracers +2,23194,Molly,5,Reforge[gate not met]
Acad. Bracers +2,23194,Nut,16,Reforge[gate not met]
Acad. Bracers +2,23194,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Bracers +2,23194,Rirint,4,Reforge[gate not met]
Acad. Bracers +2,23194,Ririntwo,9,Reforge[gate not met]
Acad. Bracers +2,23194,Spaz,17,Reforge[gate not met]
Acad. Bracers +2,23194,Testa,7,Reforge[gate not met]
Acad. Bracers +3,23529,Bent,29,Reforge[gate not met]
Acad. Bracers +3,23529,Corvinos,14,Reforge[gate not met]
Acad. Bracers +3,23529,Eir,6,Reforge[gate not met]
Acad. Bracers +3,23529,Enko,15,Reforge[gate not met]
Acad. Bracers +3,23529,Garvtest,21,Reforge[gate not met]
Acad. Bracers +3,23529,Herdofturtles,22,Reforge[gate not met]
Acad. Bracers +3,23529,Lantyisstuck,26,Reforge[gate not met]
Acad. Bracers +3,23529,Midnightarsal,32,Reforge[gate not met]
Acad. Bracers +3,23529,Molly,5,Reforge[gate not met]
Acad. Bracers +3,23529,Nut,16,Reforge[gate not met]
Acad. Bracers +3,23529,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Bracers +3,23529,Rirint,4,Reforge[gate not met]
Acad. Bracers +3,23529,Ririntwo,9,Reforge[gate not met]
Acad. Bracers +3,23529,Spaz,17,Reforge[gate not met]
Acad. Bracers +3,23529,Testa,7,Reforge[gate not met]
Acad. Gown +1,27848,Bent,29,Reforge[gate not met]
Acad. Gown +1,27848,Corvinos,14,Reforge[gate not met]
Acad. Gown +1,27848,Eir,6,Reforge[gate not met]
Acad. Gown +1,27848,Enko,15,Reforge[gate not met]
Acad. Gown +1,27848,Garvtest,21,Reforge[gate not met]
Acad. Gown +1,27848,Herdofturtles,22,Reforge[gate not met]
Acad. Gown +1,27848,Lantyisstuck,26,Reforge[gate not met]
Acad. Gown +1,27848,Midnightarsal,32,Reforge[gate not met]
Acad. Gown +1,27848,Molly,5,Reforge[gate not met]
Acad. Gown +1,27848,Nut,16,Reforge[gate not met]
Acad. Gown +1,27848,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Gown +1,27848,Rirint,4,Reforge[gate not met]
Acad. Gown +1,27848,Ririntwo,9,Reforge[gate not met]
Acad. Gown +1,27848,Spaz,17,Reforge[gate not met]
Acad. Gown +1,27848,Testa,7,Reforge[gate not met]
Acad. Gown +2,23127,Bent,29,Reforge[gate not met]
Acad. Gown +2,23127,Corvinos,14,Reforge[gate not met]
Acad. Gown +2,23127,Eir,6,Reforge[gate not met]
Acad. Gown +2,23127,Enko,15,Reforge[gate not met]
Acad. Gown +2,23127,Garvtest,21,Reforge[gate not met]
Acad. Gown +2,23127,Herdofturtles,22,Reforge[gate not met]
Acad. Gown +2,23127,Lantyisstuck,26,Reforge[gate not met]
Acad. Gown +2,23127,Midnightarsal,32,Reforge[gate not met]
Acad. Gown +2,23127,Molly,5,Reforge[gate not met]
Acad. Gown +2,23127,Nut,16,Reforge[gate not met]
Acad. Gown +2,23127,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Gown +2,23127,Rirint,4,Reforge[gate not met]
Acad. Gown +2,23127,Ririntwo,9,Reforge[gate not met]
Acad. Gown +2,23127,Spaz,17,Reforge[gate not met]
Acad. Gown +2,23127,Testa,7,Reforge[gate not met]
Acad. Gown +3,23462,Bent,29,Reforge[gate not met]
Acad. Gown +3,23462,Corvinos,14,Reforge[gate not met]
Acad. Gown +3,23462,Eir,6,Reforge[gate not met]
Acad. Gown +3,23462,Enko,15,Reforge[gate not met]
Acad. Gown +3,23462,Garvtest,21,Reforge[gate not met]
Acad. Gown +3,23462,Herdofturtles,22,Reforge[gate not met]
Acad. Gown +3,23462,Lantyisstuck,26,Reforge[gate not met]
Acad. Gown +3,23462,Midnightarsal,32,Reforge[gate not met]
Acad. Gown +3,23462,Molly,5,Reforge[gate not met]
Acad. Gown +3,23462,Nut,16,Reforge[gate not met]
Acad. Gown +3,23462,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Gown +3,23462,Rirint,4,Reforge[gate not met]
Acad. Gown +3,23462,Ririntwo,9,Reforge[gate not met]
Acad. Gown +3,23462,Spaz,17,Reforge[gate not met]
Acad. Gown +3,23462,Testa,7,Reforge[gate not met]
Acad. Loafers,28243,Bent,29,Reforge[gate not met]
Acad. Loafers,28243,Corvinos,14,Reforge[gate not met]
Acad. Loafers,28243,Eir,6,Reforge[gate not met]
Acad. Loafers,28243,Enko,15,Reforge[gate not met]
Acad. Loafers,28243,Garvtest,21,Reforge[gate not met]
Acad. Loafers,28243,Herdofturtles,22,Reforge[gate not met]
Acad. Loafers,28243,Lantyisstuck,26,Reforge[gate not met]
Acad. Loafers,28243,Midnightarsal,32,Reforge[gate not met]
Acad. Loafers,28243,Molly,5,Reforge[gate not met]
Acad. Loafers,28243,Nut,16,Reforge[gate not met]
Acad. Loafers,28243,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Loafers,28243,Rirint,4,Reforge[gate not met]
Acad. Loafers,28243,Ririntwo,9,Reforge[gate not met]
Acad. Loafers,28243,Spaz,17,Reforge[gate not met]
Acad. Loafers,28243,Testa,7,Reforge[gate not met]
Acad. Loafers +1,28264,Bent,29,Reforge[gate not met]
Acad. Loafers +1,28264,Corvinos,14,Reforge[gate not met]
Acad. Loafers +1,28264,Eir,6,Reforge[gate not met]
Acad. Loafers +1,28264,Enko,15,Reforge[gate not met]
Acad. Loafers +1,28264,Garvtest,21,Reforge[gate not met]
Acad. Loafers +1,28264,Herdofturtles,22,Reforge[gate not met]
Acad. Loafers +1,28264,Lantyisstuck,26,Reforge[gate not met]
Acad. Loafers +1,28264,Midnightarsal,32,Reforge[gate not met]
Acad. Loafers +1,28264,Molly,5,Reforge[gate not met]
Acad. Loafers +1,28264,Nut,16,Reforge[gate not met]
Acad. Loafers +1,28264,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Loafers +1,28264,Rirint,4,Reforge[gate not met]
Acad. Loafers +1,28264,Ririntwo,9,Reforge[gate not met]
Acad. Loafers +1,28264,Spaz,17,Reforge[gate not met]
Acad. Loafers +1,28264,Testa,7,Reforge[gate not met]
Acad. Loafers +2,23328,Bent,29,Reforge[gate not met]
Acad. Loafers +2,23328,Corvinos,14,Reforge[gate not met]
Acad. Loafers +2,23328,Eir,6,Reforge[gate not met]
Acad. Loafers +2,23328,Enko,15,Reforge[gate not met]
Acad. Loafers +2,23328,Garvtest,21,Reforge[gate not met]
Acad. Loafers +2,23328,Herdofturtles,22,Reforge[gate not met]
Acad. Loafers +2,23328,Lantyisstuck,26,Reforge[gate not met]
Acad. Loafers +2,23328,Midnightarsal,32,Reforge[gate not met]
Acad. Loafers +2,23328,Molly,5,Reforge[gate not met]
Acad. Loafers +2,23328,Nut,16,Reforge[gate not met]
Acad. Loafers +2,23328,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Loafers +2,23328,Rirint,4,Reforge[gate not met]
Acad. Loafers +2,23328,Ririntwo,9,Reforge[gate not met]
Acad. Loafers +2,23328,Spaz,17,Reforge[gate not met]
Acad. Loafers +2,23328,Testa,7,Reforge[gate not met]
Acad. Loafers +3,23663,Bent,29,Reforge[gate not met]
Acad. Loafers +3,23663,Corvinos,14,Reforge[gate not met]
Acad. Loafers +3,23663,Eir,6,Reforge[gate not met]
Acad. Loafers +3,23663,Enko,15,Reforge[gate not met]
Acad. Loafers +3,23663,Garvtest,21,Reforge[gate not met]
Acad. Loafers +3,23663,Herdofturtles,22,Reforge[gate not met]
Acad. Loafers +3,23663,Lantyisstuck,26,Reforge[gate not met]
Acad. Loafers +3,23663,Midnightarsal,32,Reforge[gate not met]
Acad. Loafers +3,23663,Molly,5,Reforge[gate not met]
Acad. Loafers +3,23663,Nut,16,Reforge[gate not met]
Acad. Loafers +3,23663,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Loafers +3,23663,Rirint,4,Reforge[gate not met]
Acad. Loafers +3,23663,Ririntwo,9,Reforge[gate not met]
Acad. Loafers +3,23663,Spaz,17,Reforge[gate not met]
Acad. Loafers +3,23663,Testa,7,Reforge[gate not met]
Acad. Mortar. +1,27704,Bent,29,Reforge[gate not met]
Acad. Mortar. +1,27704,Corvinos,14,Reforge[gate not met]
Acad. Mortar. +1,27704,Eir,6,Reforge[gate not met]
Acad. Mortar. +1,27704,Enko,15,Reforge[gate not met]
Acad. Mortar. +1,27704,Garvtest,21,Reforge[gate not met]
Acad. Mortar. +1,27704,Herdofturtles,22,Reforge[gate not met]
Acad. Mortar. +1,27704,Lantyisstuck,26,Reforge[gate not met]
Acad. Mortar. +1,27704,Midnightarsal,32,Reforge[gate not met]
Acad. Mortar. +1,27704,Molly,5,Reforge[gate not met]
Acad. Mortar. +1,27704,Nut,16,Reforge[gate not met]
Acad. Mortar. +1,27704,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Mortar. +1,27704,Rirint,4,Reforge[gate not met]
Acad. Mortar. +1,27704,Ririntwo,9,Reforge[gate not met]
Acad. Mortar. +1,27704,Spaz,17,Reforge[gate not met]
Acad. Mortar. +1,27704,Testa,7,Reforge[gate not met]
Acad. Mortar. +2,23060,Bent,29,Reforge[gate not met]
Acad. Mortar. +2,23060,Corvinos,14,Reforge[gate not met]
Acad. Mortar. +2,23060,Eir,6,Reforge[gate not met]
Acad. Mortar. +2,23060,Enko,15,Reforge[gate not met]
Acad. Mortar. +2,23060,Garvtest,21,Reforge[gate not met]
Acad. Mortar. +2,23060,Herdofturtles,22,Reforge[gate not met]
Acad. Mortar. +2,23060,Lantyisstuck,26,Reforge[gate not met]
Acad. Mortar. +2,23060,Midnightarsal,32,Reforge[gate not met]
Acad. Mortar. +2,23060,Molly,5,Reforge[gate not met]
Acad. Mortar. +2,23060,Nut,16,Reforge[gate not met]
Acad. Mortar. +2,23060,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Mortar. +2,23060,Rirint,4,Reforge[gate not met]
Acad. Mortar. +2,23060,Ririntwo,9,Reforge[gate not met]
Acad. Mortar. +2,23060,Spaz,17,Reforge[gate not met]
Acad. Mortar. +2,23060,Testa,7,Reforge[gate not met]
Acad. Mortar. +3,23395,Bent,29,Reforge[gate not met]
Acad. Mortar. +3,23395,Corvinos,14,Reforge[gate not met]
Acad. Mortar. +3,23395,Eir,6,Reforge[gate not met]
Acad. Mortar. +3,23395,Enko,15,Reforge[gate not met]
Acad. Mortar. +3,23395,Garvtest,21,Reforge[gate not met]
Acad. Mortar. +3,23395,Herdofturtles,22,Reforge[gate not met]
Acad. Mortar. +3,23395,Lantyisstuck,26,Reforge[gate not met]
Acad. Mortar. +3,23395,Midnightarsal,32,Reforge[gate not met]
Acad. Mortar. +3,23395,Molly,5,Reforge[gate not met]
Acad. Mortar. +3,23395,Nut,16,Reforge[gate not met]
Acad. Mortar. +3,23395,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Mortar. +3,23395,Rirint,4,Reforge[gate not met]
Acad. Mortar. +3,23395,Ririntwo,9,Reforge[gate not met]
Acad. Mortar. +3,23395,Spaz,17,Reforge[gate not met]
Acad. Mortar. +3,23395,Testa,7,Reforge[gate not met]
Acad. Mortarboard,27683,Bent,29,Reforge[gate not met]
Acad. Mortarboard,27683,Corvinos,14,Reforge[gate not met]
Acad. Mortarboard,27683,Eir,6,Reforge[gate not met]
Acad. Mortarboard,27683,Enko,15,Reforge[gate not met]
Acad. Mortarboard,27683,Garvtest,21,Reforge[gate not met]
Acad. Mortarboard,27683,Herdofturtles,22,Reforge[gate not met]
Acad. Mortarboard,27683,Lantyisstuck,26,Reforge[gate not met]
Acad. Mortarboard,27683,Midnightarsal,32,Reforge[gate not met]
Acad. Mortarboard,27683,Molly,5,Reforge[gate not met]
Acad. Mortarboard,27683,Nut,16,Reforge[gate not met]
Acad. Mortarboard,27683,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Mortarboard,27683,Rirint,4,Reforge[gate not met]
Acad. Mortarboard,27683,Ririntwo,9,Reforge[gate not met]
Acad. Mortarboard,27683,Spaz,17,Reforge[gate not met]
Acad. Mortarboard,27683,Testa,7,Reforge[gate not met]
Acad. Pants +1,28131,Bent,29,Reforge[gate not met]
Acad. Pants +1,28131,Corvinos,14,Reforge[gate not met]
Acad. Pants +1,28131,Eir,6,Reforge[gate not met]
Acad. Pants +1,28131,Enko,15,Reforge[gate not met]
Acad. Pants +1,28131,Garvtest,21,Reforge[gate not met]
Acad. Pants +1,28131,Herdofturtles,22,Reforge[gate not met]
Acad. Pants +1,28131,Lantyisstuck,26,Reforge[gate not met]
Acad. Pants +1,28131,Midnightarsal,32,Reforge[gate not met]
Acad. Pants +1,28131,Molly,5,Reforge[gate not met]
Acad. Pants +1,28131,Nut,16,Reforge[gate not met]
Acad. Pants +1,28131,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Pants +1,28131,Rirint,4,Reforge[gate not met]
Acad. Pants +1,28131,Ririntwo,9,Reforge[gate not met]
Acad. Pants +1,28131,Spaz,17,Reforge[gate not met]
Acad. Pants +1,28131,Testa,7,Reforge[gate not met]
Acad. Pants +2,23261,Bent,29,Reforge[gate not met]
Acad. Pants +2,23261,Corvinos,14,Reforge[gate not met]
Acad. Pants +2,23261,Eir,6,Reforge[gate not met]
Acad. Pants +2,23261,Enko,15,Reforge[gate not met]
Acad. Pants +2,23261,Garvtest,21,Reforge[gate not met]
Acad. Pants +2,23261,Herdofturtles,22,Reforge[gate not met]
Acad. Pants +2,23261,Lantyisstuck,26,Reforge[gate not met]
Acad. Pants +2,23261,Midnightarsal,32,Reforge[gate not met]
Acad. Pants +2,23261,Molly,5,Reforge[gate not met]
Acad. Pants +2,23261,Nut,16,Reforge[gate not met]
Acad. Pants +2,23261,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Pants +2,23261,Rirint,4,Reforge[gate not met]
Acad. Pants +2,23261,Ririntwo,9,Reforge[gate not met]
Acad. Pants +2,23261,Spaz,17,Reforge[gate not met]
Acad. Pants +2,23261,Testa,7,Reforge[gate not met]
Acad. Pants +3,23596,Bent,29,Reforge[gate not met]
Acad. Pants +3,23596,Corvinos,14,Reforge[gate not met]
Acad. Pants +3,23596,Eir,6,Reforge[gate not met]
Acad. Pants +3,23596,Enko,15,Reforge[gate not met]
Acad. Pants +3,23596,Garvtest,21,Reforge[gate not met]
Acad. Pants +3,23596,Herdofturtles,22,Reforge[gate not met]
Acad. Pants +3,23596,Lantyisstuck,26,Reforge[gate not met]
Acad. Pants +3,23596,Midnightarsal,32,Reforge[gate not met]
Acad. Pants +3,23596,Molly,5,Reforge[gate not met]
Acad. Pants +3,23596,Nut,16,Reforge[gate not met]
Acad. Pants +3,23596,Oopsiepoopsie,27,Reforge[gate not met]
Acad. Pants +3,23596,Rirint,4,Reforge[gate not met]
Acad. Pants +3,23596,Ririntwo,9,Reforge[gate not met]
Acad. Pants +3,23596,Spaz,17,Reforge[gate not met]
Acad. Pants +3,23596,Testa,7,Reforge[gate not met]
Academics Bracers +4,24005,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Academics Gown,27827,Bent,29,Reforge[gate not met]
Academics Gown,27827,Corvinos,14,Reforge[gate not met]
Academics Gown,27827,Eir,6,Reforge[gate not met]
Academics Gown,27827,Enko,15,Reforge[gate not met]
Academics Gown,27827,Garvtest,21,Reforge[gate not met]
Academics Gown,27827,Herdofturtles,22,Reforge[gate not met]
Academics Gown,27827,Lantyisstuck,26,Reforge[gate not met]
Academics Gown,27827,Midnightarsal,32,Reforge[gate not met]
Academics Gown,27827,Molly,5,Reforge[gate not met]
Academics Gown,27827,Nut,16,Reforge[gate not met]
Academics Gown,27827,Oopsiepoopsie,27,Reforge[gate not met]
Academics Gown,27827,Rirint,4,Reforge[gate not met]
Academics Gown,27827,Ririntwo,9,Reforge[gate not met]
Academics Gown,27827,Spaz,17,Reforge[gate not met]
Academics Gown,27827,Testa,7,Reforge[gate not met]
Academics Gown +4,23960,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Academics Loafers +4,24095,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Academics Mortarboard +4,23915,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Academics Pants,28110,Bent,29,Reforge[gate not met]
Academics Pants,28110,Corvinos,14,Reforge[gate not met]
Academics Pants,28110,Eir,6,Reforge[gate not met]
Academics Pants,28110,Enko,15,Reforge[gate not met]
Academics Pants,28110,Garvtest,21,Reforge[gate not met]
Academics Pants,28110,Herdofturtles,22,Reforge[gate not met]
Academics Pants,28110,Lantyisstuck,26,Reforge[gate not met]
Academics Pants,28110,Midnightarsal,32,Reforge[gate not met]
Academics Pants,28110,Molly,5,Reforge[gate not met]
Academics Pants,28110,Nut,16,Reforge[gate not met]
Academics Pants,28110,Oopsiepoopsie,27,Reforge[gate not met]
Academics Pants,28110,Rirint,4,Reforge[gate not met]
Academics Pants,28110,Ririntwo,9,Reforge[gate not met]
Academics Pants,28110,Spaz,17,Reforge[gate not met]
Academics Pants,28110,Testa,7,Reforge[gate not met]
Academics Pants +4,24050,Oopsiepoopsie,27,Divergence +4 Forge[gate not met]
Acantha Shavers,18761,Oopsiepoopsie,27,drop:Falsespinner Bhudbrodd(La Vaule [S])[gate not met]
Accolade Sword,18894,Oopsiepoopsie,27,drop:Ayravata(Abyssea-Vunkerl)[gate not met]
Accord Hat +1,26697,Bent,29,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Corvinos,14,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Eir,6,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Garvtest,21,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Lantyisstuck,26,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Midnightarsal,32,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Molly,5,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Nut,16,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Oopsiepoopsie,27,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Rirint,4,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Ririntwo,9,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Spaz,17,Gear Vendor[need HL_Tier>=3]
Accord Hat +1,26697,Testa,7,Gear Vendor[need HL_Tier>=3]
Accura Cape,11532,Oopsiepoopsie,27,Crafting[gate not met]
Accura Cape +1,11540,Oopsiepoopsie,27,Crafting[gate not met]
Ace's Helm,15223,Oopsiepoopsie,27,drop:King Vinegarroon(Western Altepa Desert)[gate not met]
Ace's Hose,12921,Oopsiepoopsie,27,drop:Bloodeye Vileberry(Abyssea-Konschtat)[gate not met]
Ace's Leggings,11432,Oopsiepoopsie,27,drop:Itzpapalotl(Abyssea-Attohwa)[gate not met]
Ace's Locket,15529,Oopsiepoopsie,27,drop:Bloody Bones(Arrapago Reef)[gate not met]
Ace's Mufflers,11896,Oopsiepoopsie,27,drop:Raja(Abyssea-Grauberg)[gate not met]
Acerbic Sash +1,28435,Bent,29,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Corvinos,14,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Eir,6,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Lantyisstuck,26,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Midnightarsal,32,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Molly,5,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Nut,16,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Oopsiepoopsie,27,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Rirint,4,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Ririntwo,9,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Spaz,17,Gear Vendor[need HL_Tier>=1]
Acerbic Sash +1,28435,Testa,7,Gear Vendor[need HL_Tier>=1]
Acha Darmas,17926,Oopsiepoopsie,27,drop:Bloodthirster Madkix(Kuftal Tunnel)[gate not met]
Acheron Shield,12385,Oopsiepoopsie,27,Crafting[gate not met]
Acheron Shield +1,12386,Oopsiepoopsie,27,Crafting[gate not met]
Achilles' Spear,18127,Oopsiepoopsie,27,drop:Dextrose(Halvung)[gate not met]
Achiyal. Arrow,21307,Oopsiepoopsie,27,!shop[gate not met]
Achiyal. Bolt,21321,Oopsiepoopsie,27,!shop[gate not met]
Achiyal. Bullet,21337,Oopsiepoopsie,27,!shop[gate not met]
Acid Baselard,16459,Oopsiepoopsie,27,Crafting[gate not met]
Acid Bolt,18148,Oopsiepoopsie,27,Crafting[gate not met]
Acid Claws,16430,Oopsiepoopsie,27,Crafting[gate not met]
Acid Dagger,17605,Oopsiepoopsie,27,Crafting[gate not met]
Acid Knife,16501,Oopsiepoopsie,27,Crafting[gate not met]
Acid Kukri,16479,Oopsiepoopsie,27,Crafting[gate not met]
Acinaces,19135,Oopsiepoopsie,27,drop:Maere(Abyssea-Grauberg)[gate not met]
Acipayam Belt,28426,Bent,29,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Corvinos,14,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Eir,6,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Lantyisstuck,26,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Midnightarsal,32,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Molly,5,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Nut,16,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Oopsiepoopsie,27,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Rirint,4,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Ririntwo,9,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Spaz,17,Gear Vendor[need HL_Tier>=1]
Acipayam Belt,28426,Testa,7,Gear Vendor[need HL_Tier>=1]
Acro Breeches,27233,Oopsiepoopsie,27,HTBF[gate not met] | drop:HTBF: Divine Might(Battlefield)[gate not met]
Acro Gauntlets,27046,Oopsiepoopsie,27,HTBF[gate not met] | drop:HTBF: Divine Might(Battlefield)[gate not met]
Acro Helm,26734,Oopsiepoopsie,27,HTBF[gate not met] | drop:HTBF: Divine Might(Battlefield)[gate not met]
Acro Leggings,27403,Oopsiepoopsie,27,HTBF[gate not met] | drop:HTBF: Divine Might(Battlefield)[gate not met]
Acro Surcoat,26892,Oopsiepoopsie,27,HTBF[gate not met] | drop:HTBF: Divine Might(Battlefield)[gate not met]
Acrobat's Belt,15866,Oopsiepoopsie,27,Crafting[gate not met]
Acubens Helm,11502,Oopsiepoopsie,27,Voidwatch[gate not met] | drop:Krabkatoa(East Ronfaure [S])[gate not met] | drop:Krabkatoa(Jugner Forest [S])[gate not met] | drop:Krabkatoa(East Ronfaure)[gate not met] | drop:Krabkatoa(Jugner Forest)[gate not met]
Acuity Belt,28429,Oopsiepoopsie,27,Unity Wanted NM[gate not met] | drop:Joyous Green(Escha ZiTah)[gate not met]
Acuity Belt +1,28430,Oopsiepoopsie,27,Unity upgrade[gate not met]
Adad Amulet,26028,Oopsiepoopsie,27,Omen[gate not met]
Adaman Barbuta,12420,Oopsiepoopsie,27,Crafting[gate not met]
Adaman Cuirass,12548,Oopsiepoopsie,27,Crafting[gate not met]
Adaman Cuisses,12804,Oopsiepoopsie,27,Crafting[gate not met]
Adaman Gauntlets,12676,Oopsiepoopsie,27,Crafting[gate not met]
