"Trust","Which NM","Drop rate","Content"
"Pieuje UC","Centurio XX-I","11%","Unity Wanted T3"
"Prishe","Sirrush","13%","Abyssea Marks T2"
"Prishe II","Lorelei","9%","Abyssea Marks T3"
"Qultada","Glavoid","11%","Reforge Unity [IV]"
"Rahal","Roc","13%","Hunting League Rank II"
"Rainemard","King Behemoth","11%","Hunting League Rank IV"
"Robel-Akbel","Durinn","13%","Abyssea Marks T2"
"Romaa Mihgo","Ironhorn Baldurno","15%","Unity Wanted T1"
"Rongelouts","Fleetstalker","11%","Geas Fete T3"
"Rosulatia","Urmahlullu","11%","Geas Fete T3"
"Rughadjeen","Ionos","13%","Geas Fete T2"
"Sakura","Tangata Manu","15%","Geas Fete T1"
"Selh'Teus","Albumen","9%","Geas Fete T4"
"Semih Lafihna","Warder of Faith","15%","Geas Fete T1"
"Shantotto II","Absolute Virtue","9%","Hunting League Rank V"
"Shikaree Z","Largantua","13%","Unity Wanted T2"
"Star Sibyl","Serket","13%","The Gauntlet L2"
"Sylvie UC","Tumult Curator","9%","Unity Wanted T3 capstone"
"Tenzen II","Thu'ban","13%","Unity Wanted T2"
"Teodor","Titlacauan","9%","Abyssea Marks T2"
"Uka Totlihn","Pantokrator","9%","Abyssea Marks T3"
"Ullegore","Iku-Turso","11%","Abyssea Marks T2"
"Ulmia","Pandemonium Warden","9%","Hunting League Rank V"
"Valaineral","Kirin","9%","Reforge Sky [V]"
"Volker","Maahes","13%","Abyssea Marks T2"
"Ygnas","Isgebind","9%","Abyssea Marks T3"
"Yoran-Oran UC","Coca","11%","Unity Wanted T3"
"Zazarg","Tiyanak","15%","Unity Wanted T1"
"Zeid","Nidhogg","11%","Hunting League Rank IV"
"Zeid II","Orthrus","9%","Abyssea Marks T3"
