"rank","band","power_tier","trust_name","spell_id","unlock_method","item_id","nm_label","content_pool","drop_pct","notes"
"2","D2","B","Ingrid II","1016","cipher_drop","10174","Shaula","Abyssea Marks T3","13","Was Prestige Medusa trial â€” moved to Abyssea"
"2","D2","B","Maat UC","1006","direct_spell_grant","","Amarok","Abyssea Marks T3","13","No cipher item"
"2","D2","B","D. Shantotto","934","cipher_drop","10129","Kamohoalii","Geas Fete T2","13",""
"2","D2","B","Rughadjeen","960","cipher_drop","10145","Ionos","Geas Fete T2","13",""
"2","D2","B","Brygid","970","cipher_drop","10155","Bomb Queen","Hunting League Rank II","13",""
"2","D2","B","Rahal","951","cipher_drop","10139","Roc","Hunting League Rank II","13",""
"2","D2","C","Gessho","918","direct_spell_grant","","Simurgh","Hunting League Rank III","13","NOTABLE â€” no cipher item"
"2","D2","B","Joachim","911","cipher_drop","10117","Vrtra","Hunting League Rank III","13","NOTABLE"
"2","D2","B","Iroha","997","cipher_drop","10185","Iratham","Reforge Abyssea [II]","13",""
"2","D2","B","Fablinix","932","cipher_drop","10128","Suzaku","Reforge Sky [II]","13",""
"2","D2","B","Koru-Moru","952","cipher_drop","10140","Khun","Reforge Unity [II]","13",""
"2","D2","B","Leonoyne","974","cipher_drop","10163","Aquarius","The Gauntlet L1","13",""
"2","D2","B","Star Sibyl","935","cipher_drop","10134","Serket","The Gauntlet L2","13",""
"2","D2","B","Gadalar","919","direct_spell_grant","","Garbage Gel","Unity Wanted T2","13","No cipher item"
"2","D2","B","Ingrid","921","direct_spell_grant","","Strix","Unity Wanted T2","13","No cipher item"
"2","D2","B","Maat","933","direct_spell_grant","","Sovereign Behemoth","Unity Wanted T2","13","No cipher item"
"2","D2","B","Mumor","946","cipher_drop","10135","Muut","Unity Wanted T2","13",""
"2","D2","B","Nashmeira","923","direct_spell_grant","","Arke","Unity Wanted T2","13","No cipher item"
"2","D2","B","Noillurie","942","cipher_drop","10131","Lumber Jill","Unity Wanted T2","13",""
"2","D2","B","Shikaree Z","915","direct_spell_grant","","Largantua","Unity Wanted T2","13","No cipher item"
"2","D2","B","Tenzen II","1014","cipher_drop","10167","Thu'ban","Unity Wanted T2","13",""
"3","D3","A","King of Hearts","989","cipher_drop","10181","Briareus","Abyssea Marks T1","11",""
"3","D3","A","Arciela II","1017","cipher_drop","10184","Itzpapalotl","Abyssea Marks T2","11",""
"3","D3","A","Kayeel-Payeel","976","cipher_drop","10165","Ketea","Abyssea Marks T2","11",""
"3","D3","A","Maximilian","975","cipher_drop","10164","Dvalinn","Abyssea Marks T2","11",""
"3","D3","A","Ullegore","987","cipher_drop","10178","Iku-Turso","Abyssea Marks T2","11",""
"3","D3","B","Amchuchu","969","cipher_drop","10154","Apademak","Abyssea Marks T3","11","NOTABLE"
"3","D3","S","August","984","cipher_drop","10175","Alfard","Abyssea Marks T3","11","CORE"
"3","D3","A","Mumor II","1015","cipher_drop","10177","Bennu","Abyssea Marks T3","11",""
"3","D3","A","AA EV","993","cipher_drop","10191","Ark Angel EV","Geas Fete T3","11",""
"3","D3","A","AA GK","996","cipher_drop","10192","Ark Angel GK","Geas Fete T3","11",""
"3","D3","A","AA HM","992","cipher_drop","10188","Ark Angel HM","Geas Fete T3","11",""
"3","D3","A","AA MR","994","cipher_drop","10190","Ark Angel MR","Geas Fete T3","11",""
"3","D3","A","AA TT","995","cipher_drop","10189","Ark Angel TT","Geas Fete T3","11",""
"3","D3","A","Balamor","983","cipher_drop","10172","Pazuzu","Geas Fete T3","11",""
"3","D3","A","Rongelouts","973","cipher_drop","10161","Fleetstalker","Geas Fete T3","11",""
"3","D3","A","Rosulatia","985","cipher_drop","10176","Urmahlullu","Geas Fete T3","11",""
"3","D3","A","Gilgamesh","938","cipher_drop","10148","Genbu-Escha","Geas Ru'Aun T3","11",""
"3","D3","A","Kuyin Hathdenna","950","cipher_drop","10141","Byakko-Escha","Geas Ru'Aun T3","11",""
"3","D3","A","Luzaf","928","cipher_drop","10124","Seiryu-Escha","Geas Ru'Aun T3","11",""
"3","D3","A","Mildaurion","971","cipher_drop","10156","Kirin","Geas Ru'Aun T3","11","Geas catalog name is Kirin (not Kirin-Escha)"
"3","D3","A","Rainemard","920","cipher_drop","10119","King Behemoth","Hunting League Rank IV","11",""
"3","D3","A","Zeid","906","cipher_drop","10112","Nidhogg","Hunting League Rank IV","11",""
"3","D3","A","Lion","907","cipher_drop","10113","Seiryu","Reforge Sky [III]","11",""
"3","D3","A","Cid","937","cipher_drop","10138","Byakko","Reforge Sky [IV]","11",""
"3","D3","A","Lilisette","945","cipher_drop","10137","Padfoot","Reforge Unity [III]","11",""
"3","D3","A","Qultada","967","cipher_drop","10152","Glavoid","Reforge Unity [IV]","11","CORE"
"3","D3","A","Ayame UC","1005","direct_spell_grant","","Wyvernhunter Bambrox","Unity Wanted T3","11","No cipher item"
"3","D3","A","Flaviria UC","957","direct_spell_grant","","Mephitas","Unity Wanted T3","11","No cipher item"
"3","D3","A","Invincible Shield UC","954","direct_spell_grant","","Vidmapire","Unity Wanted T3","11","No cipher item"
"3","D3","A","Iroha II","1018","cipher_drop","10186","Shedu","Unity Wanted T3","11",""
"3","D3","A","Jakoh UC","956","direct_spell_grant","","Tolba","Unity Wanted T3","11","No cipher item"
"3","D3","A","Lilisette II","1013","cipher_drop","10171","Bakunawa","Unity Wanted T3","11",""
"3","D3","A","Naja UC","1008","direct_spell_grant","","Ayapec","Unity Wanted T3","11","No cipher item"
"3","D3","A","Nashmeira II","1012","cipher_drop","10170","Specter Worm","Unity Wanted T3","11",""
"3","D3","A","Pieuje UC","953","direct_spell_grant","","Centurio XX-I","Unity Wanted T3","11","No cipher item"
"3","D3","A","Yoran-Oran UC","980","direct_spell_grant","","Coca","Unity Wanted T3","11","No cipher item"
"4","D4","S","Apururu UC","955","direct_spell_grant","","Chloris","Abyssea Marks T1","9","CORE â€” no cipher item"
"4","D4","S","Lhe Lhangavo","964","cipher_drop","10150","Kukulkan","Abyssea Marks T1","9","Was Prestige Sarameya trial â€” moved to Abyssea"
"4","D4","S","Teodor","986","cipher_drop","10179","Titlacauan","Abyssea Marks T2","9",""
"4","D4","B","Chacharoon","963","direct_spell_grant","","Azdaja","Abyssea Marks T3","9","No cipher item; was Prestige Ultima trial"
"4","D4","S","Prishe II","1011","cipher_drop","10168","Lorelei","Abyssea Marks T3","9",""
"4","D4","S","Uka Totlihn","947","cipher_drop","10136","Pantokrator","Abyssea Marks T3","9","Was Prestige Omega trial â€” moved to Abyssea"
"4","D4","S","Ygnas","998","direct_spell_grant","","Isgebind","Abyssea Marks T3","9","CORE â€” no cipher item"
"4","D4","S","Zeid II","1010","cipher_drop","10160","Orthrus","Abyssea Marks T3","9","CORE; was Prestige Odin trial â€” moved to Abyssea"
"4","D4","A","Abquhbah","982","cipher_drop","10169","Teles","Geas Fete T4","9",""
"4","D4","S","Darrcuiln","991","cipher_drop","10183","Azi Dahaka","Geas Fete T4","9",""
"4","D4","S","Makki-Chebukki","988","cipher_drop","10180","Warder of Courage","Geas Fete T4","9",""
"4","D4","A","Monberaux","999","cipher_drop","10193","Maju","Geas Fete T4","9","CORE"
"4","D4","S","Morimar","990","cipher_drop","10182","Warder of Hope","Geas Fete T4","9",""
"4","D4","A","Selh'Teus","979","cipher_drop","10173","Albumen","Geas Fete T4","9",""
"4","D4","S","Shantotto II","1019","cipher_drop","10187","Absolute Virtue","Hunting League Rank V","9","CORE"
"4","D4","S","Ulmia","914","direct_spell_grant","","Pandemonium Warden","Hunting League Rank V","9","CORE â€” no cipher item"
"4","D4","A","Valaineral","910","cipher_drop","10116","Kirin","Reforge Sky [V]","9","Was Prestige trial — now Reforge Sky"
"4","D4","S","Lion II","1009","cipher_drop","10159","Tinnin","Reforge Unity [V]","9",""
"4","D4","S","Sylvie UC","981","direct_spell_grant","","Tumult Curator","Unity Wanted T3 capstone","9","CORE â€” no cipher item"
"5","D5","S","Kupofried","978","cipher_drop","10162","Shinryu","Hunting League Rank V","8","CORE chase"
