"Trust","ListId","Total","PlayerWS","Mobskill","MsIds","MissingLua","AllMs","Empty"
"Najelith","1044","5","5","0","","","False","False"
"Naji","1012","3","3","0","","","False","False"
"Nanaa_Mihgo","1016","3","2","1","3189","3189(NO_SQL)","False","False"
"Nashmeira","1038","1","0","1","3243","3243(NO_SQL)","True","False"
"Nashmeira_II","1127","1","0","1","3243","3243(NO_SQL)","True","False"
"Noillurie","1057","5","5","0","","","False","False"
"Ovjang","1040","2","0","2","1943,2067","1943(NO_SQL); 2067(NO_SQL)","True","False"
"Pieuje_UC","1068","1","1","0","","","False","False"
"Prishe","1028","3","0","3","3234,3235,3236","3234(NO_SQL); 3235(NO_SQL); 3236(NO_SQL)","True","False"
"Prishe_II","1126","3","0","3","3234,3235,3236","3234(NO_SQL); 3235(NO_SQL); 3236(NO_SQL)","True","False"
"Qultada","1082","4","4","0","","","False","False"
"Rainemard","1035","4","4","0","","","False","False"
"Robel-Akbel","1092","1","1","0","","","False","False"
"Romaa_Mihgo","1064","4","4","0","","","False","False"
"Rongelouts","1088","4","4","0","","","False","False"
"Rosulatia","1100","1","1","0","","","False","False"
"Rughadjeen","1075","4","3","1","3237","3237(NO_SQL)","False","False"
"Sakura","1042","1","1","0","","","False","False"
"Selh_teus","1094","3","0","3","1508,1509,1510","1508(NO_SQL); 1509(NO_SQL); 1510(NO_SQL)","True","False"
"Semih_Lafihna","1055","4","0","4","3487,3488,3489,3490","3487(NO_SQL); 3488(NO_SQL); 3489(NO_SQL); 3490(NO_SQL)","True","False"
"Shantotto","1011","1","1","0","","","False","False"
"Shantotto_II","1134","4","0","4","3740,3741,3742,3743","3740(NO_SQL); 3741(NO_SQL); 3742(NO_SQL); 3743(NO_SQL)","True","False"
"Shantotto_II_Melee","1163","1","0","1","3739","3739(NO_SQL)","True","False"
"Shikaree_Z","1030","4","4","0","","","False","False"
"Star_Sibyl","1050","1","1","0","","","False","False"
"Sylvie_UC","1096","1","1","0","","","False","False"
"Tenzen","1023","6","0","6","1390,1391,1392,1393,1394,1395","1390(NO_SQL); 1391(NO_SQL); 1392(NO_SQL); 1393(NO_SQL); 1394(NO_SQL); 1395(NO_SQL)","True","False"
"Tenzen_II","1129","4","4","0","","","False","False"
"Teodor","1101","1","1","0","","","False","False"
"Trion","1020","4","0","4","968,970,3193,3194","968(NO_SQL); 970(NO_SQL); 3193(NO_SQL); 3194(NO_SQL)","True","False"
"Uka_Totlihn","1062","1","1","0","","","False","False"
"Ullegore","1102","1","1","0","","","False","False"
"Ulmia","1029","1","1","0","","","False","False"
"Valaineral","1025","4","4","0","","","False","False"
"Volker","1018","4","4","0","","","False","False"
"Ygnas","1113","1","1","0","","","False","False"
"Yoran-Oran_UC","1095","1","1","0","","","False","False"
"Zazarg","1039","4","4","0","","","False","False"
"Zeid","1021","5","5","0","","","False","False"
"Zeid_II","1125","5","5","0","","","False","False"
