status,set_group,slot,jobs,ilevel,itemId,name,display,source
MISSING,blurred,sub,WAR/PLD/DRK,119,27643,blurred_shield,blurred_shield,
MISSING,blurred,sub,WAR/PLD/DRK,119,27644,blurred_shield_+1,blurred_shield_+1,
MISSING,brahmastra,ranged,RNG,119,21221,brahmastra,brahmastra,
MISSING,brave,main,PLD/DRK/GEO/RUN,119,21677,brave_blade_iii,brave_blade_iii,
MISSING,bravery,head,BLM/SMN/SCH/GEO,119,24150,bravery_petasos,bravery_petasos,
MISSING,bravura,main,WAR/GEO,119,20835,bravura,bravura,
MISSING,bravura,main,WAR/GEO,119,20836,bravura,bravura,
MISSING,brilliance,main,PLD/GEO,119,20705,brilliance,brilliance,
MISSING,brutality,main,DRK,119,20891,brutality,brutality,
MISSING,bunzis,main,WAR/GEO,119,21780,bunzis_chopper,bunzis_chopper,
MISSING,bunzis,main,WHM/BLM/RDM/SMN/BLU/SCH/GEO,119,22041,bunzis_rod,bunzis_rod,
MISSING,buramgh,main,BST,119,20806,buramgh,buramgh,
MISSING,burtgang,main,PLD/GEO,119,20649,burtgang,burtgang,
MISSING,burtgang,main,PLD/GEO,119,20650,burtgang,burtgang,
MISSING,cabal,main,PLD/GEO,119,21629,cabal._sword,cabal._sword,
MISSING,caladbolg,main,PLD/DRK/GEO,119,20748,caladbolg,caladbolg,
MISSING,caliburnus,main,RDM/PLD/BLU/GEO,119,21643,caliburnus,caliburnus,
MISSING,caliburnus,main,RDM/PLD/BLU/GEO,119,21644,caliburnus,caliburnus,
MISSING,caliburnus,main,RDM/PLD/BLU/GEO,119,21645,caliburnus,caliburnus,
MISSING,carnwenhan,main,BRD,119,20561,carnwenhan,carnwenhan,
MISSING,carnwenhan,main,BRD,119,20562,carnwenhan,carnwenhan,
MISSING,cath,head,WHM/BLM/RDM/BRD/SMN/SCH/GEO,119,25593,cath_palug_crown,c._palug_crown,
MISSING,chanters,sub,WHM/BLM/RDM/PLD/DRK/SMN/BLU/SCH/RUN,119,27635,chanters_shield,chanters_shield,
MISSING,chocobo,main,RDM/THF/BRD/RNG/DNC,119,21592,chocobo_knife,chocobo_knife,
MISSING,claustrum,main,BLM/SMN,119,21135,claustrum,claustrum,
MISSING,claustrum,main,BLM/SMN,119,21136,claustrum,claustrum,
MISSING,clemency,body,RNG/SAM/DRG/COR/GEO,119,24185,clemency_haramaki,clemen._hara.,
MISSING,clemency,legs,RNG/SAM/DRG/COR/GEO,119,24191,clemency_haidate,clem._haidate,
MISSING,clerics,main,WHM,119,22033,clerics_wand,clerics_wand,
MISSING,cohort,body,MNK/WHM/BLM/RDM/PLD/BRD/RNG/SMN/BLU/PUP/SCH/GEO/RUN,119,25680,cohort_cloak,cohort_cloak,
MISSING,combuster,main,WAR/PLD/DRK/GEO/RUN,119,20696,combuster,combuster,
MISSING,comeuppances,main,MNK/PUP,119,20507,comeuppances,comeuppances,
MISSING,comm,main,COR,119,21579,comm._knife,comm._knife,
MISSING,conqueror,main,WAR/GEO,119,20837,conqueror,conqueror,
MISSING,conqueror,main,WAR/GEO,119,20838,conqueror,conqueror,
MISSING,contemplator,main,WHM/BLM/RDM/BRD/SMN/SCH/GEO,119,22057,contemplator,contemplator,
MISSING,convokers,body,SMN,119,23954,convokers_doublet_+4,con._doublet_+4,
MISSING,crep,ear,ALL,119,26117,crep._earring,crep._earring,
MISSING,crepuscular,main,DRK,119,18566,crepuscular_scythe,crepuscular_scythe,
MISSING,crocea,main,RDM,119,21627,crocea_mors,crocea_mors,
MISSING,csf,feet,ALL,119,24298,csf_boots_+1,csf_boots_+1,
MISSING,csf,hands,ALL,119,24284,csf_gloves_+1,csf_gloves_+1,
MISSING,csm,feet,ALL,119,24297,csm_boots_+1,csm_boots_+1,
MISSING,csm,hands,ALL,119,24283,csm_gloves_+1,csm_gloves_+1,
MISSING,dampening,head,MNK/THF/RNG/NIN/BLU/COR/DNC/GEO/RUN,119,25630,dampening_tam,dampening_tam,
MISSING,darraigners,legs,THF/RNG/COR,119,25852,darraigners_brais,darraigners_brais,
MISSING,dathaba,main,WAR/MNK/DRK/BST/NIN/PUP/GEO,119,21539,dathaba_claws,dathaba_claws,
MISSING,dathaba,main,WAR/THF/PLD/DRK/BRD/RNG/SAM/NIN/DRG/COR/PUP/DNC/GEO,119,21591,dathaba_knife,dathaba_knife,
MISSING,dathaba,main,WAR/THF/DRK/SAM/BLU/GEO,119,21647,dathaba_hanger,dathaba_hanger,
MISSING,dathaba,main,WAR/PLD/DRK/GEO/RUN,119,21648,dathaba_sword,dathaba_sword,
MISSING,dathaba,main,WAR/DRK/BST/RNG/GEO/RUN,119,21731,dathaba_axe,dathaba_axe,
MISSING,dathaba,main,WAR/DRK/GEO/RUN,119,21788,dathaba_voulge,dathaba_voulge,
MISSING,dathaba,main,WAR/BLM/DRK/BST/GEO,119,21841,dathaba_sickle,dathaba_sickle,
MISSING,dathaba,main,WAR/PLD/SAM/DRG/GEO,119,21892,dathaba_spear,dathaba_spear,
MISSING,dathaba,main,NIN,119,21935,dathaba_blade,dathaba_blade,
MISSING,dathaba,main,SAM/NIN,119,21990,dathaba_tachi,dathaba_tachi,
MISSING,dathaba,main,WHM/BLM/RDM/SMN/BLU/SCH/GEO,119,21992,dathaba_wand,dathaba_wand,
MISSING,dathaba,main,MNK/WHM/PLD/DRG/GEO,119,22194,dathaba_staff,dathaba_staff,
MISSING,dathaba,ranged,WAR/RDM/THF/PLD/DRK/BST/RNG/SAM/NIN/GEO,119,22166,dathaba_bow,dathaba_bow,
MISSING,dathaba,ranged,WAR/THF/DRK/RNG/GEO,119,22167,dathaba_crossbow,dathaba_crossbow,
MISSING,death,ranged,COR,119,21262,death_penalty,death_penalty,
MISSING,death,ranged,COR,119,21263,death_penalty,death_penalty,
MISSING,deliverance,sub,WAR/WHM/RDM/THF/PLD/BST/SAM,119,27640,deliverance,deliverance,
MISSING,demersal,main,WAR/RDM/PLD/BRD/DRG/COR/DNC/GEO,119,20708,demersal_degen,demersal_degen,
MISSING,demonic,main,BST,119,21732,demonic_axe,demonic_axe,
MISSING,divinity,main,WAR/WHM/PLD/GEO,119,21088,divinity,divinity,
MISSING,dokoku,main,NIN,119,21929,dokoku,dokoku,
MISSING,dokoku,main,NIN,119,21930,dokoku,dokoku,
MISSING,dokoku,main,NIN,119,21931,dokoku,dokoku,
MISSING,dokoku,main,NIN,119,21932,dokoku,dokoku,
MISSING,dragon,main,MNK/PUP,119,21540,dragon_fangs,dragon_fangs,
MISSING,drastic,main,WAR/GEO,119,21789,drastic_axe,drastic_axe,
MISSING,draumstafir,main,SMN,119,22096,draumstafir,draumstafir,
MISSING,duban,sub,PLD,119,26492,duban,duban,
MISSING,duban,sub,PLD,119,26493,duban,duban,
MISSING,duban,sub,PLD,119,26494,duban,duban,
MISSING,duban,sub,PLD,119,26495,duban,duban,
MISSING,duelists,main,RDM,119,21625,duelists_sword,duelists_sword,
MISSING,duty,body,MNK/THF/BST/PUP/DNC,119,24170,duty_cyclas,duty_cyclas,
MISSING,dyrnwyn,main,DRK,119,21656,dyrnwyn,dyrnwyn,
MISSING,dyrnwyn,main,DRK,119,21657,dyrnwyn_+1,dyrnwyn_+1,
MISSING,ea,body,BLM/RDM/GEO,119,26529,ea_houppelande,ea_houppelande,
MISSING,ea,body,BLM/RDM/GEO,119,26530,ea_houppe._+1,ea_houppe._+1,
MISSING,ea,feet,BLM/RDM/GEO,119,25960,ea_pigaches,ea_pigaches,
MISSING,ea,hands,BLM/RDM/GEO,119,25980,ea_cuffs,ea_cuffs,
MISSING,ea,hands,BLM/RDM/GEO,119,25981,ea_cuffs_+1,ea_cuffs_+1,
MISSING,ea,head,BLM/RDM/GEO,119,25553,ea_hat,ea_hat,
MISSING,ea,head,BLM/RDM/GEO,119,25554,ea_hat_+1,ea_hat_+1,
MISSING,ea,legs,BLM/RDM/GEO,119,25893,ea_slops,ea_slops,
MISSING,ea,legs,BLM/RDM/GEO,119,25894,ea_slops_+1,ea_slops_+1,
MISSING,earp,ranged,RNG/COR,119,22160,earp,earp,
MISSING,earp,ranged,RNG/COR,119,22161,earp,earp,
MISSING,earp,ranged,RNG/COR,119,22162,earp,earp,
MISSING,earp,ranged,RNG/COR,119,22164,earp,earp,
MISSING,el,feet,ALL,119,24303,el_sandals_+1,el_sandals_+1,
MISSING,eletta,main,NIN,119,21920,eletta_katana,eletta_katana,
MISSING,eletta,main,WHM/BLM/RDM/SMN/BLU/SCH/GEO,119,22029,eletta_rod,eletta_rod,
MISSING,eletta,main,WAR/MNK/WHM/BLM/RDM/BST/BRD/SMN/SCH/GEO,119,22084,eletta_staff,eletta_staff,
MISSING,emeici,main,MNK/PUP,119,20521,emeici,emeici,
MISSING,emet,body,WAR/MNK/RDM/THF/PLD/DRK/BST/BRD/SAM/NIN/DRG/BLU/COR/DNC/GEO/RUN,119,26870,emet_harness,emet_harness,
MISSING,enr,main,RDM,119,21607,enr._sword_+1,enr._sword_+1,
MISSING,enriching,main,RDM,119,21606,enriching_sword,enriching_sword,
MISSING,enticers,legs,SMN,119,27323,enticers_pants,enticers_pants,
MISSING,eosuchus,main,ALL,119,21104,eosuchus_club,eosuchus_club,
MISSING,epeolatry,main,GEO/RUN,119,20753,epeolatry,epeolatry,
MISSING,epitaph,ammo,SMN,119,21432,epitaph,epitaph,
MISSING,etoile,main,DNC,119,21582,etoile_knife,etoile_knife,
MISSING,evalach,sub,WAR/RDM/PLD/BST/SAM,119,27636,evalach,evalach,
MISSING,exemplar,main,WHM/BLM/RDM/BRD/SMN/SCH/GEO,119,21145,exemplar,exemplar,
MISSING,exeter,ranged,RNG/COR,119,22170,exeter,exeter,
MISSING,fallens,main,DRK,119,21824,fallens_scythe,fallens_scythe,
MISSING,fanatic,hands,WHM,119,27136,fanatic_gloves,fanatic_gloves,
MISSING,farsha,main,WAR/BST/GEO,119,20795,farsha,farsha,
MISSING,father,main,DRK,119,21825,father_time,father_time,
MISSING,ferocity,main,WAR/GEO,119,20844,ferocity,ferocity,
MISSING,final,main,DRK,119,21842,final_sickle,final_sickle,
MISSING,fists,main,MNK,119,20527,fists_of_fury,fists_of_fury,
MISSING,flam,feet,WAR/PLD/DRK/SAM/DRG/GEO,119,25953,flam._gambieras_+2,flam._gambieras_+2,
MISSING,flam,hands,WAR/PLD/DRK/SAM/DRG/GEO,119,25835,flam._manopolas_+2,flam._manopolas_+2,
MISSING,flam,head,WAR/PLD/DRK/SAM/DRG/GEO,119,25569,flam._zucchetto_+2,flam._zucchetto_+2,
MISSING,flam,head,WAR/PLD/DRK/SAM/DRG/GEO,119,25580,flam._zucchetto_+1,flam._zucchetto_+1,
MISSING,flametongue,main,WAR/RDM/PLD/BLU/GEO,119,20664,flametongue,flametongue,
MISSING,flamma,body,WAR/PLD/DRK/SAM/DRG/GEO,119,25779,flamma_korazin,flamma_korazin,
MISSING,flamma,body,WAR/PLD/DRK/SAM/DRG/GEO,119,25780,flamma_korazin_+1,flamma_korazin_+1,
MISSING,flamma,body,WAR/PLD/DRK/SAM/DRG/GEO,119,25797,flamma_korazin_+2,flamma_korazin_+2,
MISSING,flamma,feet,WAR/PLD/DRK/SAM/DRG/GEO,119,25940,flamma_gambieras,flamma_gambieras,
MISSING,flamma,hands,WAR/PLD/DRK/SAM/DRG/GEO,119,25818,flamma_manopolas,flamma_manopolas,
MISSING,flamma,head,WAR/PLD/DRK/SAM/DRG/GEO,119,25579,flamma_zucchetto,flamma_zucchetto,
MISSING,flamma,legs,WAR/PLD/DRK/SAM/DRG/GEO,119,25873,flamma_dirs,flamma_dirs,
MISSING,flamma,legs,WAR/PLD/DRK/SAM/DRG/GEO,119,25874,flamma_dirs_+1,flamma_dirs_+1,
MISSING,flamma,legs,WAR/PLD/DRK/SAM/DRG/GEO,119,25886,flamma_dirs_+2,flamma_dirs_+2,
MISSING,fleshcarvers,main,MNK/PUP,119,20517,fleshcarvers,fleshcarvers,
MISSING,floral,hands,THF/RNG/NIN/COR,119,27137,floral_gauntlets,floral_gauntlets,
MISSING,flyssa,main,PLD/DRK/GEO/RUN,119,20681,flyssa,flyssa,
MISSING,foenaria,main,DRK,119,21834,foenaria,foenaria,
MISSING,foenaria,main,DRK,119,21835,foenaria,foenaria,
MISSING,foenaria,main,DRK,119,21836,foenaria,foenaria,
MISSING,foenaria,main,DRK,119,21837,foenaria,foenaria,
MISSING,forfend,sub,WAR/RDM/PLD/BST/SAM,119,26401,forfend,forfend,
MISSING,found,body,WAR/PLD/DRK/SAM/DRG/GEO,119,27910,found._breastplate,found._breastplate,
MISSING,founders,hands,WAR/PLD/DRK/SAM/DRG/GEO,119,28049,founders_gauntlets,founders_gauntlets,
MISSING,founders,head,WAR/PLD/DRK/SAM/DRG/GEO,119,27764,founders_corona,founders_corona,
MISSING,founders,legs,WAR/PLD/DRK/SAM/DRG/GEO,119,28191,founders_hose,founders_hose,
MISSING,fudo,main,NIN,119,21917,fudo_masamune,fudo_masamune,
MISSING,fusenaikyo,main,SAM,119,21970,fusenaikyo,fusenaikyo,
MISSING,futhark,main,GEO/RUN,119,21667,futhark_claymore,futhark_claymore,
MISSING,gabaxorea,main,WHM/BLM/RDM/SMN/BLU/SCH/GEO,119,21112,gabaxorea,gabaxorea,
MISSING,gae,main,DRG/GEO,119,20942,gae_derg,gae_derg,
MISSING,gae,main,DRG/GEO,119,21888,gae_buide,gae_buide,
MISSING,gae,main,DRG/GEO,119,21889,gae_buide,gae_buide,
MISSING,gae,main,DRG/GEO,119,21890,gae_buide,gae_buide,
MISSING,gae,main,DRG/GEO,119,21891,gae_buide,gae_buide,
MISSING,gambanteinn,main,WHM,119,21064,gambanteinn,gambanteinn,
MISSING,gambanteinn,main,WHM,119,21065,gambanteinn,gambanteinn,
MISSING,gandiva,ranged,RNG,119,21212,gandiva,gandiva,
MISSING,gandiva,ranged,RNG,119,21213,gandiva,gandiva,
MISSING,gandring,main,THF,119,21575,gandring,gandring,
MISSING,gastraphetes,ranged,RNG,119,21246,gastraphetes,gastraphetes,
MISSING,gastraphetes,ranged,RNG,119,21247,gastraphetes,gastraphetes,
MISSING,gazu,hands,MNK/WHM/BLM/RDM/THF/DRK/BRD/RNG/SMN/BLU/COR/PUP/DNC/SCH/GEO/RUN,119,27150,gazu_bracelets,gazu_bracelets,
MISSING,gefechtbrust,body,WAR/PLD/DRK/SAM/DRG/GEO,119,26881,gefechtbrust,gefechtbrust,
MISSING,gefechtdiechlings,legs,WAR/PLD/DRK/SAM/DRG/GEO,119,27224,gefechtdiechlings,gefechtdiechlings,
MISSING,gefechthentzes,hands,WAR/PLD/DRK/SAM/DRG/GEO,119,27987,gefechthentzes,gefechthentzes,
MISSING,gefechtschaller,head,WAR/PLD/DRK/SAM/DRG/GEO,119,26722,gefechtschaller,gefechtschaller,
MISSING,gefechtschuhs,feet,WAR/PLD/DRK/SAM/DRG/GEO,119,27396,gefechtschuhs,gefechtschuhs,
MISSING,geirrothr,main,DRG/GEO,119,21856,geirrothr,geirrothr,
MISSING,gekkei,main,SAM,119,21979,gekkei,gekkei,
MISSING,genmeinoibuki,ammo,ALL,119,22257,genmeinoibuki,genmeinoibuki,
MISSING,genshitanto,main,NIN,119,21928,genshitanto,genshitanto,
MISSING,genshito,main,SAM,119,21982,genshito,genshito,
MISSING,glanzfaust,main,MNK,119,20482,glanzfaust,glanzfaust,
MISSING,glanzfaust,main,MNK,119,20483,glanzfaust,glanzfaust,
MISSING,gletis,body,THF/BST/DRG/BLU/DNC/GEO,119,23763,gletis_cuirass,gletis_cuirass,
MISSING,gletis,feet,THF/BST/DRG/BLU/DNC/GEO,119,23784,gletis_boots,gletis_boots,
MISSING,gletis,hands,THF/BST/DRG/BLU/DNC/GEO,119,23770,gletis_gauntlets,gletis_gauntlets,
MISSING,gletis,head,THF/BST/DRG/BLU/DNC/GEO,119,23756,gletis_mask,gletis_mask,
MISSING,gletis,legs,THF/BST/DRG/BLU/DNC/GEO,119,23777,gletis_breeches,gletis_breeches,
MISSING,gletis,ranged,RNG,119,22150,gletis_crossbow,gletis_crossbow,
MISSING,glyphic,main,SMN,119,22095,glyphic_staff,glyphic_staff,
MISSING,gokotai,main,NIN,119,21922,gokotai,gokotai,
MISSING,gor,feet,WAR/PLD/DRK/BST/SAM/DRG/GEO,119,28289,gor._sollerets_+1,gor._sollerets_+1,
MISSING,gor,legs,WAR/PLD/DRK/BST/SAM/DRG/GEO,119,28152,gor._brayettes_+1,gor._brayettes_+1,
MISSING,gorney,body,WAR/PLD/DRK/BST/SAM/DRG/GEO,119,27863,gorney_haubert_+1,gorney_haubert_+1,
MISSING,gorney,hands,WAR/PLD/DRK/BST/SAM/DRG/GEO,119,28010,gorney_moufles_+1,gorney_moufles_+1,
MISSING,gorney,head,WAR/PLD/DRK/BST/SAM/DRG/GEO,119,27711,gorney_morion_+1,gorney_morion_+1,
MISSING,grace,body,RNG/SAM/DRG/COR/GEO,119,24184,grace_haramaki,grace_haramaki,
MISSING,grace,hands,RNG/SAM/DRG/COR/GEO,119,24187,grace_kote,grace_kote,
